token,count,rank
Zur,21,1038
zurecht,21,1039
fragen,21,1040
Auftritt,21,1041
suchen,21,1042
Spitze,21,1043
Grundrente,21,1044
UK,21,1045
letztlich,21,1046
glauben,21,1047
Parteien,21,1048
Soldatinnen,21,1049
demokratische,21,1050
Wasserstoff,20,1051
Kommunen,20,1052
Loesungen,20,1053
Bahn,20,1054
Lockdown,20,1055
Motto,20,1056
betroffen,20,1057
Akzeptanz,20,1058
Buergerinnen,20,1059
Infektionsschutzgesetz,20,1060
rein,20,1061
Eure,20,1062
Gleich,20,1063
getroffen,20,1064
Engagement,20,1065
Umgang,20,1066
Grenzen,20,1067
danke,20,1068
genutzt,20,1069
selbstverstaendlich,20,1070
Verbot,20,1071
cducsu,20,1072
Europawahl,20,1073
Kollegin,20,1074
soziale,20,1075
Unterschied,20,1076
Kabinett,20,1077
rund,20,1078
hinter,20,1079
langsam,20,1080
Endlich,20,1081
taeglich,20,1082
sehe,20,1083
Basis,20,1084
Dein,20,1085
Linken,20,1086
Mitglied,20,1087
nein,20,1088
scheint,20,1089
besteht,20,1090
Covid,20,1091
Virus,20,1092
hinsichtlich,20,1093
dachte,20,1094
Vor,20,1095
Jamaika,19,1096
50,19,1097
Biden,19,1098
internationalen,19,1099
Gesicht,19,1100
bisher,19,1101
frage,19,1102
Kurs,19,1103
gesund,19,1104
schoenen,19,1105
kurz,19,1106
weiteren,19,1107
Mai,19,1108
n,19,1109
bspw,19,1110
Sitzung,19,1111
Verstaendnis,19,1112
jedes,19,1113
innerhalb,19,1114
passiert,19,1115
kleiner,19,1116
ging,19,1117
Anerkennung,19,1118
Richtung,19,1119
Maenner,19,1120
groesste,19,1121
Herausforderung,19,1122
Reform,19,1123
erhoehen,19,1124
Anspruch,19,1125
Spitzenkandidat,19,1126
Folge,19,1127
Stabilitaet,19,1128
hinzuzufuegen,19,1129
hohe,19,1130
A,19,1131
Muss,19,1132
Same,19,1133
nix,19,1134
Ruhe,19,1135
bekommt,19,1136
tollen,19,1137
denke,19,1138
gemeint,19,1139
Eindruck,19,1140
Gegenteil,19,1141
haetten,19,1142
fuehrt,19,1143
csupt19,19,1144
Werte,19,1145
Stimme,19,1146
schaut,19,1147
handelt,19,1148
links,19,1149
reichen,19,1150
Auftrag,19,1151
bezeichnet,19,1152
la,19,1153
hach,19,1154
Dabei,19,1155
Konsequenzen,19,1156
Moeglichkeit,19,1157
Aussenpolitik,19,1158
Integration,19,1159
bestehen,19,1160
with,19,1161
Rechtsextremismus,19,1162
Arbeitsplaetze,18,1163
tragen,18,1164
Anreize,18,1165
beginnt,18,1166
Fuehrung,18,1167
Auswirkungen,18,1168
verlieren,18,1169
Gefahr,18,1170
parlamentarische,18,1171
Job,18,1172
Live,18,1173
Geburtstag,18,1174
Ausbau,18,1175
gezeigt,18,1176
Energie,18,1177
Abgeordneten,18,1178
Homeoffice,18,1179
aktuell,18,1180
retten,18,1181
m,18,1182
Fakten,18,1183
gekommen,18,1184
ziehen,18,1185
fehlen,18,1186
Bekaempfung,18,1187
welches,18,1188
spannend,18,1189
Interessen,18,1190
Verhandlungen,18,1191
spaet,18,1192
ueberall,18,1193
Folgen,18,1194
digitale,18,1195
Verfuegung,18,1196
Studie,18,1197
denkt,18,1198
you,18,1199
fest,18,1200
Zweifel,18,1201
Spiel,18,1202
reicht,18,1203
genauso,18,1204
We,18,1205
Waere,18,1206
persoenlich,18,1207
froh,18,1208
Herzlich,18,1209
Tipp,18,1210
Eigentlich,18,1211
erster,18,1212
Kommentar,18,1213
durchaus,18,1214
meisten,18,1215
gewonnen,18,1216
musste,18,1217
MiaSanMia,18,1218
Prinzip,18,1219
Unsinn,18,1220
25,18,1221
gedenken,18,1222
feiern,18,1223
Dinge,18,1224
her,18,1225
versucht,18,1226
Grossbritannien,18,1227
Nockherberg,18,1228
Investitionen,18,1229
Pflicht,18,1230
Verfahren,18,1231
Sozialismus,18,1232
Wieder,18,1233
Sahel,18,1234
